Source;Target;type
Hermione Granger;Lord Voldemort;-
Hermione Granger;Peter Pettigrew;-
Hermione Granger;Draco Malfoy;-
Hermione Granger;Argus Filch;-
Hermione Granger;Gregory Goyle;-
Hermione Granger;Minerva McGonagall;+
Hermione Granger;"Alastor ""Mad-Eye"" Moody";+
Hermione Granger;"Alastor ""Mad-Eye"" Moody";+
Hermione Granger;Quirinus Quirrell;-
Hermione Granger;Quirinus Quirrell;-
Hermione Granger;Severus Snape;+
Hermione Granger;Severus Snape;+
Hermione Granger;Dolores Janes Umbridge;-
Hermione Granger;Dolores Janes Umbridge;-
Hermione Granger;Arthur Weasley;+
Hermione Granger;Bill Weasley;+
Hermione Granger;Charlie Weasley;+
Igor Karkaroff;Lord Voldemort;-
Igor Karkaroff;Viktor Krum;+
James Potter;Peter Pettigrew;-
James Potter;Harry Potter;+
James Potter;Remus Lupin;+
James Potter;Sirius Black;+
James Potter;Peter Pettigrew;-
James Potter;Lord Voldemort;-
James Potter;Lily Potter;+
Lavender Brown;Hermione Granger;-
Lavender Brown;Neville Longbottom;+
Lavender Brown;Ron Weasley;+
Lily Potter;Peter Pettigrew;-
Lily Potter;Harry Potter;+
Lily Potter;James Potter;+
Lily Potter;Lord Voldemort;-
Lily Potter;Severus Snape;+
Lily Potter;Severus Snape;+
Lord Voldemort;Minerva McGonagall;-
Lord Voldemort;"Alastor ""Mad-Eye"" Moody";-
Lord Voldemort;Peter Pettigrew;+
Lord Voldemort;James Potter;-
Lord Voldemort;Lily Potter;-
Lord Voldemort;Quirinus Quirrell;-
Lord Voldemort;Tom Riddle Sr.;-
Lord Voldemort;Severus Snape;-
Lucius Malfoy;Draco Malfoy;+
Lucius Malfoy;Narcissa Malfoy;+
Lucius Malfoy;Lord Voldemort;+
Lucius Malfoy;Harry Potter;-
Lucius Malfoy;Dobby;-
Luna Lovegood;Neville Longbottom;+
Luna Lovegood;Harry Potter;+
Luna Lovegood;Hermione Granger;+
Luna Lovegood;Ron Weasley;+
Mary Riddle;Tom Riddle Sr.;+
Mary Riddle;Lord Voldemort;-
Minerva McGonagall;Argus Filch;+
Minerva McGonagall;Rubeus Hagrid;+
Minerva McGonagall;Dolores Janes Umbridge;-
Minerva McGonagall;Lord Voldemort;-
Minerva McGonagall;Albus Dumbledore;+
Minerva McGonagall;Harry Potter;+
Minerva McGonagall;Hermione Granger;+
Minerva McGonagall;Ron Weasley;+
Minerva McGonagall;Lord Voldemort;-
Minerva McGonagall;Albus Dumbledore;+
Moaning Myrtle;Harry Potter;+
Molly Weasley;Sirius Black;+
Molly Weasley;Albus Dumbledore;+
Molly Weasley;Hermione Granger;+
Molly Weasley;Lucius Malfoy;-
Molly Weasley;Harry Potter;+
Molly Weasley;Lord Voldemort;-
Molly Weasley;Arthur Weasley;+
Molly Weasley;Bill Weasley;+
Molly Weasley;Charlie Weasley;+
Molly Weasley;Fred Weasley;+
Molly Weasley;George Weasley;+
Molly Weasley;Ginny Weasley;+
Molly Weasley;Percy Weasley;+
Molly Weasley;Ron Weasley;+
Narcissa Malfoy;Lucius Malfoy;+
Narcissa Malfoy;Lord Voldemort;+
Narcissa Malfoy;Bellatrix Lestrange;+
Neville Longbottom;Harry Potter;+
Neville Longbottom;Lord Voldemort;-
Neville Longbottom;Hermione Granger;+
Neville Longbottom;Ron Weasley;+
Neville Longbottom;Luna Lovegood;+
Neville Longbottom;Draco Malfoy;-
Nicolas Flamel;Albus Dumbledore;+
Nymphadora Tonks;Remus Lupin;+
Nymphadora Tonks;Lord Voldemort;-
Olympe Maxime;Rubeus Hagrid;+
Olympe Maxime;Fleur Delacour;+
Olympe Maxime;Albus Dumbledore;+
Olympe Maxime;Igor Karkaroff;+
Percy Weasley;Arthur Weasley;+
Percy Weasley;Bill Weasley;+
Percy Weasley;Charlie Weasley;+
Percy Weasley;Arthur Weasley;+
Percy Weasley;Bill Weasley;+
Percy Weasley;Charlie Weasley;+
Percy Weasley;Fred Weasley;+
Percy Weasley;George Weasley;+
Percy Weasley;Ginny Weasley;+
Percy Weasley;Molly Weasley;+
Percy Weasley;Ron Weasley;+
Peter Pettigrew;Sirius Black;-
Peter Pettigrew;James Potter;-
Peter Pettigrew;Lily Potter;-
Peter Pettigrew;Lord Voldemort;+
Peter Pettigrew;Harry Potter;-
Peter Pettigrew;James Potter;-
Petunia Dursley;Albus Dumbledore;-
Petunia Dursley;Dudley Dursley;+
Petunia Dursley;Harry Potter;-
Petunia Dursley;Lily Potter;-
Quirinus Quirrell;Harry Potter;-
Quirinus Quirrell;Hermione Granger;-
Quirinus Quirrell;Hermione Granger;-
Quirinus Quirrell;Albus Dumbledore;-
Quirinus Quirrell;Lord Voldemort;-
Quirinus Quirrell;Albus Dumbledore;+
Regulus Arcturus Black;Sirius Black;-
Regulus Arcturus Black;Bellatrix Lestrange;-
Regulus Arcturus Black;Lord Voldemort;-
Remus Lupin;Peter Pettigrew;-
Remus Lupin;Lord Voldemort;-
Remus Lupin;James Potter;+
Remus Lupin;Sirius Black;+
Remus Lupin;Nymphadora Tonks;+
Remus Lupin;Harry Potter;+
Remus Lupin;Minerva McGonagall;+
Remus Lupin;James Potter;+
Remus Lupin;Nymphadora Tonks;+
Rita Skeeter;Harry Potter;-
Rita Skeeter;Albus Dumbledore;-
Ron Weasley;Minerva McGonagall;+
Ron Weasley;Sirius Black;+
Ron Weasley;Fleur Delacour;+
Ron Weasley;Albus Dumbledore;+
Ron Weasley;Argus Filch;-
Ron Weasley;Seamus Finnigan;+
Ron Weasley;Gregory Goyle;-
Ron Weasley;Hermione Granger;+
Ron Weasley;Rubeus Hagrid;+
Ron Weasley;Bellatrix Lestrange;-
Ron Weasley;Neville Longbottom;+
Ron Weasley;Luna Lovegood;+
Ron Weasley;Remus Lupin;+
Ron Weasley;Draco Malfoy;-
Ron Weasley;Lucius Malfoy;-
Ron Weasley;Minerva McGonagall;+
Ron Weasley;"Alastor ""Mad-Eye"" Moody";+
Ron Weasley;Peter Pettigrew;-
Ron Weasley;Harry Potter;+
Ron Weasley;Lord Voldemort;-
Ron Weasley;Severus Snape;+
Ron Weasley;Dolores Janes Umbridge;-
Ron Weasley;Arthur Weasley;+
Ron Weasley;Bill Weasley;+
Ron Weasley;Charlie Weasley;+
Ron Weasley;Fred Weasley;+
Ron Weasley;George Weasley;+
Ron Weasley;Ginny Weasley;+
Ron Weasley;Molly Weasley;+
Ron Weasley;Percy Weasley;+
Ron Weasley;Dobby;+
Ron Weasley;Fluffy;-
Ron Weasley;Aragog;-
Ron Weasley;Grawp;+
Rubeus Hagrid;Lord Voldemort;-
Rubeus Hagrid;Fluffy;+
Rubeus Hagrid;Aragog;+
Rubeus Hagrid;Grawp;+
Rubeus Hagrid;Ron Weasley;+
Rubeus Hagrid;Hermione Granger;+
Rubeus Hagrid;Severus Snape;+
Rubeus Hagrid;Harry Potter;+
Rubeus Hagrid;Neville Longbottom;+
Rubeus Hagrid;Olympe Maxime;+
Rubeus Hagrid;Minerva McGonagall;+
Rubeus Hagrid;Albus Dumbledore;+
Seamus Finnigan;Lavender Brown;+
Seamus Finnigan;Cho Chang;+
Seamus Finnigan;Hermione Granger;+
Seamus Finnigan;Neville Longbottom;+
Seamus Finnigan;Luna Lovegood;+
Seamus Finnigan;Harry Potter;+
Seamus Finnigan;Ginny Weasley;+
Seamus Finnigan;Ron Weasley;+
Severus Snape;Lily Potter;+
Severus Snape;Harry Potter;+
Severus Snape;Hermione Granger;+
Severus Snape;Hermione Granger;+
Severus Snape;Lily Potter;+
Severus Snape;Lord Voldemort;-
Sirius Black;Regulus Arcturus Black;-
Sirius Black;Albus Dumbledore;+
Sirius Black;Hermione Granger;+
Sirius Black;Bellatrix Lestrange;-
Sirius Black;Remus Lupin;+
Sirius Black;Lucius Malfoy;-
Sirius Black;Narcissa Malfoy;-
Sirius Black;Minerva McGonagall;+
Sirius Black;"Alastor ""Mad-Eye"" Moody";+
Sirius Black;Peter Pettigrew;-
Sirius Black;Harry Potter;+
Sirius Black;James Potter;+
Sirius Black;Lily Potter;+
Sirius Black;Lord Voldemort;-
Sirius Black;Severus Snape;-
Sirius Black;Nymphadora Tonks;+
Sirius Black;Arthur Weasley;+
Sirius Black;Fred Weasley;+
Sirius Black;George Weasley;+
Sirius Black;Ginny Weasley;+
Sirius Black;Ron Weasley;+
Sirius Black;Peter Pettigrew;-
Sirius Black;James Potter;+
Tom Riddle Sr.;Lord Voldemort;-
Tom Riddle Sr.;Mary Riddle;+
Tom Riddle Sr.;Lord Voldemort;-
Vernon Dursley;Albus Dumbledore;-
Vernon Dursley;Dudley Dursley;+
Vernon Dursley;Petunia Dursley;+
Vernon Dursley;Harry Potter;-
Viktor Krum;Igor Karkaroff;+
Viktor Krum;Harry Potter;+
Viktor Krum;Fleur Delacour;+
Viktor Krum;Cedric Diggory;+
Viktor Krum;Hermione Granger;+
Vincent Crabbe;Vincent Crabbe Sr.;+
Vincent Crabbe;Dolores Janes Umbridge;+
Vincent Crabbe;Gregory Goyle;+
Vincent Crabbe;Hermione Granger;-
Vincent Crabbe;Draco Malfoy;+
Vincent Crabbe;Harry Potter;-
Vincent Crabbe;Ron Weasley;-
Vincent Crabbe Sr.;Regulus Arcturus Black;+
Vincent Crabbe Sr.;Vincent Crabbe;+
Vincent Crabbe Sr.;"Bartemius ""Barty"" Crouch Sr.";+
Vincent Crabbe Sr.;Bellatrix Lestrange;+
Vincent Crabbe Sr.;Lucius Malfoy;+
Vincent Crabbe Sr.;Peter Pettigrew;+
Vincent Crabbe Sr.;Lord Voldemort;+
Vincent Crabbe Sr.;Severus Snape;+
Xenophilius Lovegood;Luna Lovegood;+
